episode,steps,epsilon,episode_reward,episode_length,loss,eval_success_rate,eval_avg_reward
479,99191,0.0100,0.0000,256,0.002153,,
480,99447,0.0100,0.0000,256,0.001890,,
481,99703,0.0100,0.0000,256,0.001818,,
482,99959,0.0100,0.0000,256,0.001833,,
483,100215,0.0100,0.0000,256,0.001835,,
484,100471,0.0100,0.0000,256,0.001594,,
485,100727,0.0100,0.0000,256,0.001692,,
486,100983,0.0100,0.0000,256,0.001683,,
487,101239,0.0100,0.0000,256,0.002083,,
488,101495,0.0100,0.0000,256,0.001781,,
489,101751,0.0100,0.0000,256,0.001740,,
490,102007,0.0100,0.0000,256,0.002147,,
491,102263,0.0100,0.0000,256,0.001581,,
492,102519,0.0100,0.0000,256,0.001989,,
493,102775,0.0100,0.0000,256,0.001808,,
494,103031,0.0100,0.0000,256,0.002027,,
495,103287,0.0100,0.0000,256,0.001779,,
496,103543,0.0100,0.0000,256,0.001476,,
497,103799,0.0100,0.0000,256,0.001966,,
498,104055,0.0100,0.0000,256,0.001875,,
499,104311,0.0100,0.0000,256,0.001411,,
500,104567,0.0100,0.0000,256,0.001551,0.0000,0.0000
501,104823,0.0100,0.0000,256,0.001228,,
502,105079,0.0100,0.0000,256,0.001808,,
503,105335,0.0100,0.0000,256,0.001236,,
504,105591,0.0100,0.0000,256,0.001577,,
505,105847,0.0100,0.0000,256,0.001232,,
506,106103,0.0100,0.0000,256,0.001803,,
507,106359,0.0100,0.0000,256,0.001310,,
508,106615,0.0100,0.0000,256,0.001522,,
509,106871,0.0100,0.0000,256,0.001901,,
510,107127,0.0100,0.0000,256,0.001184,,
511,107383,0.0100,0.0000,256,0.001836,,
512,107639,0.0100,0.0000,256,0.001599,,
513,107895,0.0100,0.0000,256,0.001681,,
514,108151,0.0100,0.0000,256,0.001370,,
515,108407,0.0100,0.0000,256,0.001887,,
516,108663,0.0100,0.0000,256,0.001715,,
517,108919,0.0100,0.0000,256,0.001567,,
518,109175,0.0100,0.0000,256,0.001900,,
519,109431,0.0100,0.0000,256,0.001726,,
520,109687,0.0100,0.0000,256,0.001492,,
521,109943,0.0100,0.0000,256,0.001186,,
522,110199,0.0100,0.0000,256,0.001344,,
523,110455,0.0100,0.0000,256,0.001376,,
524,110711,0.0100,0.0000,256,0.001502,,
525,110967,0.0100,0.0000,256,0.001550,,
526,111223,0.0100,0.0000,256,0.001636,,
527,111479,0.0100,0.0000,256,0.001578,,
528,111735,0.0100,0.0000,256,0.001541,,
529,111991,0.0100,0.0000,256,0.001429,,
530,112247,0.0100,0.0000,256,0.001400,,
531,112503,0.0100,0.0000,256,0.001262,,
532,112759,0.0100,0.0000,256,0.001325,,
533,113015,0.0100,0.0000,256,0.001246,,
534,113271,0.0100,0.0000,256,0.001203,,
535,113527,0.0100,0.0000,256,0.001478,,
536,113783,0.0100,0.0000,256,0.001537,,
537,114039,0.0100,0.0000,256,0.001295,,
538,114295,0.0100,0.0000,256,0.001736,,
539,114551,0.0100,0.0000,256,0.001488,,
540,114807,0.0100,0.0000,256,0.001005,,
541,115063,0.0100,0.0000,256,0.001323,,
542,115319,0.0100,0.0000,256,0.001070,,
543,115575,0.0100,0.0000,256,0.001404,,
544,115831,0.0100,0.0000,256,0.001571,,
545,116087,0.0100,0.0000,256,0.001387,,
546,116343,0.0100,0.0000,256,0.001240,,
547,116599,0.0100,0.0000,256,0.001237,,
548,116855,0.0100,0.0000,256,0.001281,,
549,117111,0.0100,0.0000,256,0.001355,,
550,117367,0.0100,0.0000,256,0.001277,,
551,117623,0.0100,0.0000,256,0.001272,,
552,117879,0.0100,0.0000,256,0.001609,,
553,118135,0.0100,0.0000,256,0.001502,,
554,118391,0.0100,0.0000,256,0.001143,,
555,118647,0.0100,0.0000,256,0.001413,,
556,118903,0.0100,0.0000,256,0.001548,,
557,119159,0.0100,0.0000,256,0.001369,,
558,119415,0.0100,0.0000,256,0.001456,,
559,119671,0.0100,0.0000,256,0.001326,,
560,119927,0.0100,0.0000,256,0.001303,,
561,120183,0.0100,0.0000,256,0.001203,,
562,120439,0.0100,0.0000,256,0.001319,,
563,120695,0.0100,0.0000,256,0.001171,,
564,120951,0.0100,0.0000,256,0.001353,,
565,121207,0.0100,0.0000,256,0.001276,,
566,121463,0.0100,0.0000,256,0.000883,,
567,121719,0.0100,0.0000,256,0.001373,,
568,121975,0.0100,0.0000,256,0.001267,,
569,122231,0.0100,0.0000,256,0.001274,,
570,122487,0.0100,0.0000,256,0.001187,,
571,122743,0.0100,0.0000,256,0.001176,,
